"n","degree","dgp","threads","t_ares","t_earth","rss_ares","rss_earth","gcv_ares","gcv_earth","rss_rel_err","speed_ratio"
500,1,"friedman",1,0.013425350189209,0.00914335250854492,1345.59776374673,1362.84811168765,2.95698078870546,3.02016202036045,0.0126575718841925,1.46831812255541
1500,1,"friedman",1,0.0903091430664062,0.0114724636077881,4203.14664303343,4235.25470454647,2.91367062762474,2.93592831304135,0.00758114062858439,7.8718177850745
5000,1,"friedman",1,0.0834169387817383,0.0312058925628662,13861.1798737897,13988.9013684971,2.80016764703714,2.81916522063042,0.00913020196103369,2.67311497704126
500,2,"friedman",1,0.0132730007171631,0.0165493488311768,567.508901446405,523.973950138338,1.34684404727148,1.23008830580562,0.0830860986439753,0.802025557172288
1500,2,"friedman",1,0.0443224906921387,0.0484576225280762,1717.86564937503,1718.85816554964,1.20637635170543,1.21121353942862,0.000577427617066004,0.914664987256822
5000,2,"friedman",1,0.145030736923218,0.164254903793335,5334.7988749816,5341.9134474279,1.0857699909075,1.08612206042928,0.00133183970805963,0.882961382423596
500,1,"additive",1,0.0101859569549561,0.00450801849365234,119.329625213924,121.164723349151,0.266683409870701,0.268509082214185,0.0151454819893299,2.25951977998731
1500,1,"additive",1,0.0265903472900391,0.0125813484191895,372.652315555589,375.772524891865,0.258326962717401,0.259783036193827,0.00830345256661297,2.1134735645253
5000,1,"additive",1,0.0773353576660156,0.0260746479034424,1253.91695579851,1265.92922194493,0.253513949345874,0.255736819160108,0.00948889237896616,2.96592145567595
500,2,"additive",1,0.0158741474151611,0.0129523277282715,109.679748219542,109.84752441054,0.260298147957202,0.255108140445107,0.00152735523078431,1.22558259396974
1500,2,"additive",1,0.037839412689209,0.0356364250183105,341.66060624204,345.537360300106,0.239932194831235,0.241002826251872,0.0112194931821523,1.06181842510203
5000,2,"additive",1,0.137855529785156,0.123790979385376,1284.0907768673,1293.00018290774,0.260556664078727,0.262100416474612,0.00689049093589817,1.11361530920598
500,1,"interaction",1,0.00921630859375,0.00404000282287598,965.216241478255,966.555515108874,2.10340837400084,2.10632693177957,0.00138561480399606,2.28126290941281
1500,1,"interaction",1,0.0291042327880859,0.00795745849609375,3436.21119730678,3410.94518327293,2.33103701976654,2.32639629212414,0.0074073351157177,3.65747842761266
5000,1,"interaction",1,0.0481023788452148,0.0268962383270264,12529.6604457992,12461.6719186115,2.52508628266216,2.52149894829792,0.00545581103657764,1.78844261641152
500,2,"interaction",1,0.0103261470794678,0.00850486755371094,573.216174250774,542.498733989769,1.27565065750408,1.24642295075474,0.0566221418344999,1.21414554832922
1500,2,"interaction",1,0.0349361896514893,0.0237727165222168,1008.22042987847,718.583543515606,0.708025848444064,0.504627468357196,0.40306640609364,1.46959181626717
5000,2,"interaction",1,0.101909160614014,0.0637710094451904,7232.03333539075,7188.10325109164,1.46451029900998,1.45268933862026,0.00611149878689295,1.59804841573979
500,1,"friedman",2,0.0120818614959717,NA,1321.64933351611,NA,3.0300687643946,NA,NA,NA
1500,1,"friedman",2,0.0240175724029541,NA,3950.49290117642,NA,2.75348247761344,NA,NA,NA
5000,1,"friedman",2,0.084183931350708,NA,14031.7004668709,NA,2.83689584461317,NA,NA,NA
500,2,"friedman",2,0.0119345188140869,NA,441.037141756266,NA,1.06987604493651,NA,NA,NA
1500,2,"friedman",2,0.0282206535339355,NA,1801.606183835,NA,1.26952289974519,NA,NA,NA
5000,2,"friedman",2,0.101774930953979,NA,5477.48894956641,NA,1.1136873785827,NA,NA,NA
500,1,"additive",2,0.00912022590637207,NA,122.886801624584,NA,0.272325322159744,NA,NA,NA
1500,1,"additive",2,0.0197086334228516,NA,385.555202678906,NA,0.265823753642452,NA,NA,NA
5000,1,"additive",2,0.0436263084411621,NA,1243.44920820444,NA,0.251195516922186,NA,NA,NA
500,2,"additive",2,0.0118625164031982,NA,125.859247062278,NA,0.295468864335591,NA,NA,NA
1500,2,"additive",2,0.0269687175750732,NA,390.827513468439,NA,0.272591465192299,NA,NA,NA
5000,2,"additive",2,0.0677180290222168,NA,1303.87626538412,NA,0.264305076446323,NA,NA,NA
500,1,"interaction",2,0.00867009162902832,NA,1142.17046960413,NA,2.36885210697676,NA,NA,NA
1500,1,"interaction",2,0.0208437442779541,NA,3657.02856060916,NA,2.5350951575988,NA,NA,NA
5000,1,"interaction",2,0.0614638328552246,NA,12460.9250408081,NA,2.51932020297665,NA,NA,NA
500,2,"interaction",2,0.0105950832366943,NA,395.412336164796,NA,0.90848324600264,NA,NA,NA
1500,2,"interaction",2,0.0215520858764648,NA,3375.60734620918,NA,2.34638671380704,NA,NA,NA
5000,2,"interaction",2,0.0697395801544189,NA,7421.28438863333,NA,1.50586324449683,NA,NA,NA
500,1,"friedman",4,0.00815629959106445,NA,1193.05093601949,NA,2.68897754702578,NA,NA,NA
1500,1,"friedman",4,0.0171711444854736,NA,4047.09173742539,NA,2.8131359214268,NA,NA,NA
5000,1,"friedman",4,0.0493471622467041,NA,14074.7167910736,NA,2.84559278278324,NA,NA,NA
500,2,"friedman",4,0.00915646553039551,NA,504.609976567476,NA,1.22409220188505,NA,NA,NA
1500,2,"friedman",4,0.0189566612243652,NA,1622.31076519217,NA,1.14710805971326,NA,NA,NA
5000,2,"friedman",4,0.074798583984375,NA,5805.49965170523,NA,1.17918953503302,NA,NA,NA
500,1,"additive",4,0.00660562515258789,NA,117.091272358422,NA,0.253048855162327,NA,NA,NA
1500,1,"additive",4,0.0117030143737793,NA,382.73296093769,NA,0.263163790812102,NA,NA,NA
5000,1,"additive",4,0.0348799228668213,NA,1264.54559593748,NA,0.255662822543056,NA,NA,NA
500,2,"additive",4,0.00898885726928711,NA,118.381139087909,NA,0.280948778218988,NA,NA,NA
1500,2,"additive",4,0.0149352550506592,NA,384.24778782445,NA,0.268918376993507,NA,NA,NA
5000,2,"additive",4,0.0436661243438721,NA,1242.00245068045,NA,0.251509540410445,NA,NA,NA
500,1,"interaction",4,0.00777316093444824,NA,1053.69846235951,NA,2.31552563048999,NA,NA,NA
1500,1,"interaction",4,0.0165600776672363,NA,3572.23304342585,NA,2.46959392861448,NA,NA,NA
5000,1,"interaction",4,0.0504281520843506,NA,12467.7399536491,NA,2.5247579374592,NA,NA,NA
500,2,"interaction",4,0.00814270973205566,NA,563.517711755115,NA,1.25406743878989,NA,NA,NA
1500,2,"interaction",4,0.0185286998748779,NA,1039.77919337255,NA,0.7301880856261,NA,NA,NA
5000,2,"interaction",4,0.057978630065918,NA,2456.70606560384,NA,0.498493680203314,NA,NA,NA
